14.08.2018                                                 Dynamic List Display                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
| Site|Del. Date |Site Description              |PO No's|Del  No's|HU  No's|        PO Qty|  Org OB Del|  OB Del Qty|    GI Qty|  GR Qty|
| GF29|28.01.2018|Mulbarton Park                |     1 |      17 |     35 |        2,398 |      1,933 |      1,930 |    1,930 |      0 |
| GF41|28.01.2018|Langehovenpark                |     4 |       4 |      6 |          470 |        394 |        391 |      391 |      0 |
| GF47|28.01.2018|Kroonstad                     |     5 |       2 |     18 |        1,317 |      1,036 |      1,036 |    1,036 |      0 |
| GF48|28.01.2018|Rhodesdene                    |     2 |       2 |      0 |            2 |          2 |          2 |        2 |      0 |
| GF51|28.01.2018|Kelvin                        |     5 |       4 |     19 |          827 |        727 |        726 |      726 |      0 |
| GF55|28.01.2018|Piet Retief                   |     4 |       9 |     22 |        1,604 |      1,428 |      1,416 |    1,416 |      0 |
| GF56|28.01.2018|Hazelpark                     |     1 |       7 |     15 |          804 |        583 |        575 |      575 |      0 |
| GF59|28.01.2018|Van Riebeeck Park             |     5 |       3 |      7 |          266 |        246 |        243 |      243 |      0 |
| GF71|28.01.2018|Elgin                         |     3 |       6 |     19 |          780 |        697 |        694 |      694 |      0 |
| GF73|28.01.2018|Edenmeadow                    |     5 |       4 |      9 |          549 |        511 |        503 |      503 |      0 |
| GF83|28.01.2018|Fluerdal                      |     1 |       1 |      1 |            1 |          1 |          1 |        1 |      0 |
| GF84|28.01.2018|Songloed                      |     1 |       1 |      1 |            2 |          2 |          2 |        2 |      0 |
| GF85|28.01.2018|Louis Botha                   |     3 |       1 |      2 |          190 |        154 |        152 |      152 |      0 |
| GF88|28.01.2018|Brentwood Park                |     2 |       1 |      3 |           35 |         35 |         35 |       35 |      0 |
| GF89|28.01.2018|Towers at Langenhoven         |     6 |       3 |     12 |          761 |        713 |        712 |      712 |      0 |
| GF96|28.01.2018|Epsom Downs                   |     2 |       1 |      2 |           86 |         79 |         72 |       72 |      0 |
| GG06|28.01.2018|Orange Farm                   |     5 |       1 |      9 |          407 |        382 |        380 |      380 |      0 |
| GG08|28.01.2018|Meadowlands                   |     4 |       3 |     10 |          437 |        415 |        411 |      411 |      0 |
| GG11|28.01.2018|Bophelong                     |     1 |       1 |      2 |           44 |         33 |         33 |       33 |      0 |
| GG18|28.01.2018|Tembisa                       |     4 |       4 |     10 |          613 |        565 |        544 |      544 |      0 |
| GG20|28.01.2018|Church Street (Piet Retief)   |     5 |       4 |     15 |        1,166 |        980 |        977 |      977 |      0 |
| GG25|28.01.2018|Ivory Park                    |     3 |       6 |     25 |        1,580 |      1,521 |      1,490 |    1,490 |      0 |
| GH01|28.01.2018|Wolmaransstad                 |     1 |       1 |      1 |            2 |          2 |          2 |        2 |      0 |
| GH05|28.01.2018|Kilburn Liquor                |     1 |       1 |      1 |            4 |          4 |          4 |        4 |      0 |
| GL01|28.01.2018|Maseru                        |     1 |      12 |     39 |        3,116 |      2,682 |      2,640 |    2,640 |      0 |
| GM03|28.01.2018|Aston Manor                   |     2 |       1 |      7 |          245 |        242 |        242 |      242 |      0 |
| GM05|28.01.2018|Oakdene                       |     5 |      30 |     55 |        2,588 |      2,393 |      2,392 |    2,392 |      0 |
| GM33|28.01.2018|Viljoenskroon                 |     1 |       1 |      1 |            1 |          1 |          1 |        1 |      0 |
| GM34|28.01.2018|Bethlehem                     |     1 |       1 |      1 |            3 |          3 |          3 |        3 |      0 |
| GO08|28.01.2018|O'Reilly Merry                |     3 |       1 |      3 |           59 |         59 |         59 |       59 |      0 |
| HC01|28.01.2018|Boksburg                      |     9 |      15 |     28 |        1,727 |      1,192 |      1,184 |    1,184 |      0 |
| HC03|28.01.2018|Bloemfontein                  |    11 |      10 |     23 |        1,975 |      1,282 |      1,264 |    1,264 |      0 |
| HC05|28.01.2018|Norwood                       |    10 |      38 |     34 |        2,511 |      1,762 |      1,736 |    1,736 |      0 |
| HC06|28.01.2018|Woodmead                      |    13 |      39 |     30 |        2,835 |      2,229 |      2,181 |    2,181 |      0 |
| HC07|28.01.2018|Steeledale                    |     9 |      15 |     16 |        1,575 |      1,064 |      1,030 |    1,030 |      0 |
| HC08|28.01.2018|Klerksdorp                    |    10 |      14 |     14 |        1,508 |        970 |        957 |      957 |      0 |
| HC09|28.01.2018|Vaal                          |     9 |       9 |     13 |        1,302 |        783 |        781 |      781 |      0 |
| HC10|28.01.2018|Faerie Glen                   |     9 |      23 |     25 |        2,136 |      1,415 |      1,365 |    1,365 |      0 |
| HC11|28.01.2018|Wonderpark                    |     9 |      16 |     16 |        1,407 |      1,021 |      1,014 |    1,014 |      0 |
| HC14|28.01.2018|Northgate                     |     6 |      11 |     17 |        1,270 |        894 |        890 |      890 |      0 |
| HC16|28.01.2018|Princess Crossing             |    10 |      15 |     22 |        2,074 |      1,587 |      1,581 |    1,581 |      0 |
| HC17|28.01.2018|Montana                       |    10 |      22 |     20 |        1,653 |      1,025 |      1,018 |    1,018 |      0 |
| HC18|28.01.2018|Centurion                     |     9 |      16 |     25 |        1,831 |      1,255 |      1,242 |    1,242 |      0 |
| HC19|28.01.2018|Greenstone                    |     9 |      13 |     18 |        1,632 |      1,111 |      1,102 |    1,102 |      0 |
| HC20|28.01.2018|Soweto                        |     9 |      13 |     20 |        1,538 |      1,126 |      1,108 |    1,108 |      0 |
| NC01|28.01.2018|Lynnwood                      |     9 |       8 |     11 |          439 |        269 |        268 |      268 |      0 |
| NC04|28.01.2018|Rustenburg                    |     9 |      13 |      8 |          640 |        429 |        421 |      421 |      0 |
| NC05|28.01.2018|Savannah                      |     9 |      14 |      8 |          633 |        366 |        360 |      360 |      0 |
| NC06|28.01.2018|Hatfield                      |    10 |      13 |     17 |          979 |        640 |        631 |      631 |      0 |
| NC09|28.01.2018|Nelspruit                     |    14 |      20 |     20 |        1,492 |      1,172 |      1,095 |    1,095 |      0 |
| NC10|28.01.2018|Quagga                        |    10 |       9 |     21 |        1,037 |        766 |        765 |      765 |      0 |
| NC11|28.01.2018|Mmabatho                      |    11 |       8 |     12 |          720 |        589 |        588 |      588 |      0 |
| NC13|28.01.2018|Tzaneen                       |    10 |      10 |     11 |          987 |        758 |        752 |      752 |      0 |
| NC14|28.01.2018|Tramshed                      |    11 |      10 |     16 |          759 |        618 |        614 |      614 |      0 |
| NC15|28.01.2018|Centurion                     |     9 |      10 |     11 |          549 |        319 |        319 |      319 |      0 |
| NC16|28.01.2018|Polokwane                     |     9 |       9 |     19 |          981 |        661 |        657 |      657 |      0 |
| NC17|28.01.2018|Waterfall Mall                |    11 |      12 |     14 |        1,263 |        929 |        926 |      926 |      0 |
| NC18|28.01.2018|Riverside Mall                |    11 |      28 |     11 |          826 |        659 |        603 |      603 |      0 |
| NC20|28.01.2018|Hillcrest Boulevard           |     9 |      12 |     23 |        1,081 |        862 |        843 |      843 |      0 |
| NC21|28.01.2018|Wonderboom Junction           |     9 |      18 |     14 |          822 |        487 |        478 |      478 |      0 |
| NC22|28.01.2018|Mall at Reds                  |    11 |      16 |     24 |        1,203 |        783 |        767 |      767 |      0 |
| NC23|28.01.2018|Mokopane Mall                 |    10 |      20 |     24 |        1,821 |      1,361 |      1,340 |    1,340 |      0 |
| NC24|28.01.2018|Woodlands Boulevard           |    11 |      19 |     20 |        1,369 |        915 |        906 |      906 |      0 |
| NC26|28.01.2018|Makhado                       |    11 |       9 |     14 |        1,064 |        742 |        741 |      741 |      0 |
| NC27|28.01.2018|Southdowns                    |     9 |      11 |     11 |          574 |        357 |        347 |      347 |      0 |
| NC29|28.01.2018|Hazeldean Square              |     9 |      15 |     16 |          965 |        595 |        573 |      573 |      0 |
| NC30|28.01.2018|Irene Village Mall            |    10 |      14 |     18 |        1,041 |        605 |        594 |      594 |      0 |
| NC35|28.01.2018|The Grove                     |     9 |       8 |     14 |          744 |        472 |        468 |      468 |      0 |
| NC36|28.01.2018|Bylsbridge Promenade          |    10 |       6 |     12 |          608 |        355 |        355 |      355 |      0 |
| NC37|28.01.2018|Ilanga Mall                   |     9 |      14 |     13 |        1,328 |        806 |        794 |      794 |      0 |
| NC39|28.01.2018|Jubilee Mall                  |    10 |      19 |     14 |        1,108 |        812 |        807 |      807 |      0 |
| NC42|28.01.2018|Mabopane                      |     9 |      11 |     21 |        1,095 |        951 |        948 |      948 |      0 |
| NC43|28.01.2018|Burgersfort Tubatse Crossing  |     9 |      13 |     14 |        1,163 |        985 |        981 |      981 |      0 |
| NC46|28.01.2018|Mall at Lebo                  |     9 |      15 |     14 |          904 |        643 |        623 |      623 |      0 |
| NC48|28.01.2018|Atteridgeville Maunde Street  |    10 |      14 |     15 |          717 |        486 |        483 |      483 |      0 |
| NC50|28.01.2018|Local Eastdale                |     2 |       1 |      5 |          129 |        113 |        113 |      113 |      0 |
| NC51|28.01.2018|Emoyeni                       |    12 |      10 |     13 |          750 |        672 |        670 |      670 |      0 |
| NC52|28.01.2018|Jean Avenue - Centurion       |     8 |       8 |     25 |        1,240 |        880 |        879 |      879 |      0 |
| NC56|28.01.2018|Groblersdal                   |     3 |       1 |      8 |          451 |        266 |        266 |      266 |      0 |
| NC59|28.01.2018|Local Nelspruit Bester Street |     2 |       4 |      4 |          228 |        200 |        192 |      192 |      0 |
| NC60|28.01.2018|Mabopane Lifestyle            |     2 |       8 |      8 |          224 |        197 |        194 |      194 |      0 |
| NC62|28.01.2018|Olympus                       |     4 |       4 |      5 |          194 |        117 |        113 |      113 |      0 |
| NC63|28.01.2018|Local Barberton               |     2 |       1 |      3 |          113 |        104 |        104 |      104 |      0 |
| NC65|28.01.2018|Local Letlhabile              |     1 |       3 |      8 |          184 |        171 |        127 |      127 |      0 |
| NC67|28.01.2018|Menlyn Maine                  |     9 |      13 |      8 |          272 |        157 |        156 |      156 |      0 |
| NC68|28.01.2018|Kwagga Plaza                  |     5 |       7 |      8 |          341 |        209 |        199 |      199 |      0 |
| NC74|28.01.2018|Thavhani Mall                 |     9 |      12 |      7 |          384 |        186 |        180 |      180 |      0 |
| NF09|28.01.2018|Warmbaths                     |     4 |       8 |     28 |        2,269 |      1,915 |      1,906 |    1,906 |      0 |
| NF13|28.01.2018|Barberton                     |     1 |       1 |      0 |            1 |          1 |          1 |        1 |      0 |
| NF14|28.01.2018|Cornwall View                 |     6 |       6 |     25 |        1,377 |      1,019 |      1,006 |    1,006 |      0 |
| NF20|28.01.2018|Waterkloof Rand               |     2 |       2 |      0 |            2 |          2 |          2 |        2 |      0 |
| NF22|28.01.2018|Silverwater Crossing          |     1 |       1 |      0 |            2 |          2 |          0 |        0 |      0 |
| NF25|28.01.2018|Lephalale Square              |     5 |      11 |     33 |        2,448 |      2,235 |      2,215 |    2,215 |      0 |
| NF28|28.01.2018|Equestria Mall                |     1 |       6 |     26 |        1,222 |      1,018 |      1,009 |    1,009 |      0 |
| NF34|28.01.2018|Mahube City                   |     5 |       1 |      4 |          302 |        269 |        269 |      269 |      0 |
| NF35|28.01.2018|Eersterust                    |     4 |       3 |      5 |          152 |        112 |        112 |      112 |      0 |
| NF46|28.01.2018|Station Square                |     1 |       1 |      1 |            5 |          5 |          5 |        5 |      0 |
| NF51|28.01.2018|Thaba Mall                    |     4 |      11 |     25 |        1,963 |      1,588 |      1,570 |    1,570 |      0 |
| NF54|28.01.2018|Vaalbank                      |     1 |       1 |      0 |            1 |          1 |          1 |        1 |      0 |
| NG05|28.01.2018|Rustenburg Taxi               |     4 |       1 |      6 |          365 |        289 |        289 |      289 |      0 |
| NG15|28.01.2018|Giyani                        |     4 |       4 |      2 |          531 |        224 |        168 |      168 |      0 |
| NG19|28.01.2018|Acornhoek                     |     4 |       1 |      9 |          679 |        630 |        628 |      628 |      0 |
| NG20|28.01.2018|Jane Furse                    |     4 |      13 |     43 |        3,023 |      2,532 |      2,495 |    2,495 |      0 |
| NM03|28.01.2018|Moraletta Park                |     2 |       3 |      2 |           21 |         17 |         14 |       14 |      0 |
| NO01|28.01.2018|Church Street                 |     2 |       1 |      5 |          144 |         87 |         87 |       87 |      0 |
| NO03|28.01.2018|Thorntree                     |     3 |       3 |      3 |           71 |         66 |         60 |       60 |      0 |
| NO04|28.01.2018|Eldo Glen                     |     4 |       1 |      3 |           70 |         69 |         69 |       69 |      0 |
| NO06|28.01.2018|Twin Palms                    |     1 |       1 |      2 |           39 |         37 |         37 |       37 |      0 |
| NO07|28.01.2018|Mamelodi                      |     5 |       1 |      3 |           97 |         86 |         86 |       86 |      0 |
| NO11|28.01.2018|Queenswood                    |     4 |       1 |      9 |          367 |        341 |        341 |      341 |      0 |
| NO21|28.01.2018|Mashikoane                    |     4 |       4 |      6 |          116 |        102 |         98 |       98 |      0 |
| GC02|27.01.2018|Blackheath                    |    10 |       9 |     20 |        1,036 |        669 |        664 |      664 |      0 |
| GC04|27.01.2018|Bedfordview                   |    10 |      11 |     26 |        1,752 |      1,094 |      1,089 |    1,089 |      0 |
| GC05|27.01.2018|Kensington                    |    12 |      70 |     86 |        4,106 |      3,431 |      3,405 |    3,405 |      0 |
| GC06|27.01.2018|Florida                       |    10 |      13 |     17 |        1,122 |        765 |        764 |      764 |      0 |
| GC07|27.01.2018|The Glen                      |    14 |      16 |     27 |        1,550 |      1,034 |      1,027 |    1,027 |      0 |
| GC08|27.01.2018|Three Rivers                  |     8 |       9 |     13 |        1,077 |        654 |        652 |      652 |      0 |
| GC09|27.01.2018|Key West                      |    13 |       9 |     26 |        1,441 |        990 |        987 |      987 |      0 |
| GC10|27.01.2018|Sunward Park                  |    10 |      20 |     21 |        1,054 |        625 |        618 |      618 |      0 |
| GC11|27.01.2018|Lonehill                      |     8 |       9 |     10 |          816 |        341 |        323 |      323 |      0 |
| GC12|27.01.2018|Rosebank                      |     9 |      12 |     10 |          937 |        491 |        484 |      484 |      0 |
| GC13|27.01.2018|Benmore                       |     9 |      23 |     16 |          938 |        585 |        536 |      536 |      0 |
| GC14|27.01.2018|Edenvale (Closed)             |    12 |      10 |     25 |        1,170 |        819 |        814 |      814 |      0 |
| GC15|27.01.2018|Killarney                     |    11 |      14 |     28 |        1,570 |      1,056 |      1,033 |    1,033 |      0 |
| GC18|27.01.2018|Randpark Ridge                |     8 |       9 |     16 |          928 |        579 |        572 |      572 |      0 |
| GC19|27.01.2018|Southgate                     |    11 |      13 |     38 |        1,912 |      1,487 |      1,482 |    1,482 |      0 |
| GC20|27.01.2018|Gallo Manor                   |    11 |       8 |     21 |        1,179 |        715 |        708 |      708 |      0 |
| GC22|27.01.2018|Ruimsig                       |     9 |      16 |     18 |          901 |        618 |        612 |      612 |      0 |
| GC24|27.01.2018|Fourways                      |    11 |      12 |     24 |        1,218 |        814 |        811 |      811 |      0 |
| GC25|27.01.2018|Auckland Park                 |    11 |      16 |     23 |        1,198 |        902 |        896 |      896 |      0 |
| GC26|27.01.2018|Midrand                       |    11 |      10 |     24 |        1,253 |        893 |        882 |      882 |      0 |
| GC27|27.01.2018|The Bridge                    |     7 |       9 |     11 |          428 |        287 |        283 |      283 |      0 |
| GC28|27.01.2018|Hyde Park                     |    10 |      17 |     27 |        1,285 |        853 |        839 |      839 |      0 |
| GC29|27.01.2018|Victory Park                  |    12 |      33 |     47 |        2,089 |      1,650 |      1,636 |    1,636 |      0 |
| GC30|27.01.2018|Daveyton                      |     8 |      18 |     22 |          919 |        708 |        692 |      692 |      0 |
| GC35|27.01.2018|Cresta                        |     9 |      15 |     14 |          846 |        435 |        433 |      433 |      0 |
| GC38|27.01.2018|Morningside                   |    11 |      21 |     16 |          919 |        631 |        611 |      611 |      0 |
| GC39|27.01.2018|Carlton Centre                |     6 |       5 |     13 |          639 |        460 |        455 |      455 |      0 |
| GC41|27.01.2018|Welkom                        |     9 |      58 |     51 |        4,092 |      3,468 |      3,409 |    3,409 |      0 |
| GC47|27.01.2018|Sasolburg                     |    10 |       7 |     15 |        1,375 |      1,031 |      1,025 |    1,025 |      0 |
| GC51|27.01.2018|Carletonville                 |     9 |      14 |     19 |        1,097 |        682 |        674 |      674 |      0 |
| GC52|27.01.2018|Festival Mall                 |    10 |      11 |     20 |          973 |        696 |        672 |      672 |      0 |
| GC53|27.01.2018|Clearwater Mall               |    13 |      14 |     30 |        1,515 |        984 |        969 |      969 |      0 |
| GC55|27.01.2018|Carnival Mall                 |    11 |       8 |     23 |        1,197 |        760 |        759 |      759 |      0 |
| GC56|27.01.2018|Vaal Mall                     |     8 |      16 |     11 |          947 |        478 |        473 |      473 |      0 |
| GC57|27.01.2018|Lenasia                       |     9 |       9 |     14 |        1,010 |        606 |        604 |      604 |      0 |
| GC58|27.01.2018|Chilli Lane                   |     6 |      11 |     14 |          763 |        370 |        365 |      365 |      0 |
| GC59|27.01.2018|New Redruth                   |     9 |      11 |     14 |          962 |        477 |        472 |      472 |      0 |
| GC60|27.01.2018|Cedar Road                    |    14 |      26 |     43 |        2,035 |      1,570 |      1,565 |    1,565 |      0 |
| GC62|27.01.2018|Westgate                      |    11 |       9 |     19 |          744 |        575 |        568 |      568 |      0 |
| GC63|27.01.2018|Chris Hani Crossing           |     8 |       7 |     18 |          935 |        706 |        696 |      696 |      0 |
| GC64|27.01.2018|On Nicol                      |    11 |      16 |     31 |        2,782 |      1,979 |      1,922 |    1,922 |      0 |
| GC65|27.01.2018|Southdale                     |    11 |      14 |     32 |        1,678 |      1,224 |      1,208 |    1,208 |      0 |
| GC66|27.01.2018|Vosloorus                     |    12 |      12 |     30 |        1,430 |      1,196 |      1,187 |    1,187 |      0 |
| GC67|27.01.2018|Northlands Corner             |    10 |      11 |     23 |        1,173 |        851 |        844 |      844 |      0 |
| GC68|27.01.2018|The Falls                     |    10 |      17 |     43 |        2,291 |      1,647 |      1,634 |    1,634 |      0 |
| GC70|27.01.2018|Diepkloof                     |    10 |      10 |     33 |        1,676 |      1,267 |      1,258 |    1,258 |      0 |
| GC71|27.01.2018|Fairmount                     |     9 |      12 |     25 |        1,050 |        777 |        769 |      769 |      0 |
| GC73|27.01.2018|Cradlestone Mall              |    11 |      12 |     30 |        1,587 |      1,152 |      1,136 |    1,136 |      0 |
| GC76|27.01.2018|Kyalami on Main               |    11 |      11 |     27 |        1,257 |        944 |        928 |      928 |      0 |
| GC77|27.01.2018|Tembisa                       |    10 |      11 |     15 |          798 |        530 |        524 |      524 |      0 |
| GC78|27.01.2018|Mayfield Square               |    12 |       7 |     22 |        1,163 |        913 |        908 |      908 |      0 |
| GC79|27.01.2018|Dainfern Square               |     6 |       6 |     23 |        1,525 |        976 |        971 |      971 |      0 |
| GC81|27.01.2018|Cosmo Mall                    |    10 |      10 |     21 |          976 |        711 |        705 |      705 |      0 |
| GC82|27.01.2018|Blue Hills                    |     7 |      18 |     14 |          847 |        466 |        452 |      452 |      0 |
| GC83|27.01.2018|Newtown Junction              |    11 |      14 |     28 |        1,378 |      1,099 |      1,078 |    1,078 |      0 |
