################################################################################
# This file contains a transactional data dump of students entering and leaving
# at the University Road drop-off gate. That is, the entrance closest to the
# Engineering buildings. There are three turnstiles. The first is North,
# denoted with 'N', and is closest to the Mineral Sciences Building. The second 
# is in the centre, denoted with 'C', and closest to the Mining Engineering
# Study Centre. The third is South, denoted by 'S', and is closest to the
# Engineering 2 Building.
#
# The time stamp indicates the day/month/year and time of day in the format
# hour:minutes:seconds. There is a variable indicating whether this is an
# 'entry' into the campus or an 'exit' leaving the campus. The 'success'
# variable indicates a '1' if the transaction was completed with only one tap of
# the student card, and '0' if two or more taps were required. 
################################################################################

date,type,turnstile,success
24/02/2020 07:14:01,entry,C,0
24/02/2020 07:14:15,entry,N,1
24/02/2020 07:14:33,entry,S,1
24/02/2020 07:14:43,entry,C,1
24/02/2020 07:14:46,entry,C,1
24/02/2020 07:14:50,entry,C,0
24/02/2020 07:15:57,entry,N,1
24/02/2020 07:16:14,entry,C,1
24/02/2020 07:16:26,entry,C,1
24/02/2020 07:16:57,entry,C,1
24/02/2020 07:18:15,entry,N,1
24/02/2020 07:18:46,entry,N,1
24/02/2020 07:19:25,exit,C,1
24/02/2020 07:21:11,entry,S,1
24/02/2020 07:22:39,entry,C,1
24/02/2020 07:22:50,entry,C,1
24/02/2020 07:23:21,entry,C,1
24/02/2020 07:23:45,entry,C,1
24/02/2020 07:23:53,entry,S,1
24/02/2020 07:26:04,entry,C,1
24/02/2020 07:26:06,exit,C,1
24/02/2020 07:27:01,entry,C,1
24/02/2020 07:27:31,entry,C,1
24/02/2020 07:27:50,entry,N,1
24/02/2020 07:28:07,entry,S,1
24/02/2020 07:28:48,entry,S,1
24/02/2020 07:29:12,entry,N,0
24/02/2020 07:30:18,entry,S,1
24/02/2020 07:31:26,entry,S,1
24/02/2020 07:31:48,entry,S,1
24/02/2020 07:32:06,entry,C,1
24/02/2020 07:32:07,exit,C,1
24/02/2020 07:32:59,exit,N,1
24/02/2020 07:33:13,entry,C,1
24/02/2020 07:34:21,entry,C,1
24/02/2020 07:34:24,entry,C,1
24/02/2020 07:34:50,entry,S,1
24/02/2020 07:35:08,entry,N,1
24/02/2020 07:36:50,entry,S,1
24/02/2020 07:38:24,entry,C,1
24/02/2020 07:42:39,entry,N,1
24/02/2020 07:42:45,entry,C,1
24/02/2020 07:43:06,entry,C,1
24/02/2020 07:43:13,exit,S,1
24/02/2020 07:43:14,entry,C,1
24/02/2020 07:43:29,entry,C,1
24/02/2020 07:44:33,entry,C,1
24/02/2020 07:45:33,entry,S,1
24/02/2020 07:45:40,exit,S,1
24/02/2020 07:46:19,entry,N,1
24/02/2020 07:46:23,entry,C,1
24/02/2020 07:47:10,entry,C,1
24/02/2020 07:48:20,entry,C,1
24/02/2020 07:50:51,entry,C,1
24/02/2020 07:51:38,entry,N,1
24/02/2020 07:52:26,entry,S,1
24/02/2020 07:55:08,entry,S,1
24/02/2020 07:55:25,entry,C,1
24/02/2020 07:57:50,entry,C,1
24/02/2020 07:57:55,entry,N,1
24/02/2020 07:58:02,entry,S,1
24/02/2020 07:58:32,entry,C,1
24/02/2020 07:58:33,exit,S,1
24/02/2020 07:58:49,entry,S,0
24/02/2020 07:59:07,entry,N,1
24/02/2020 08:00:14,exit,C,1
24/02/2020 08:01:04,entry,S,1
24/02/2020 08:01:25,entry,C,1
24/02/2020 08:01:46,exit,N,1
24/02/2020 08:03:30,entry,S,1
24/02/2020 08:04:58,entry,N,1
24/02/2020 08:05:48,entry,S,1
24/02/2020 08:06:44,entry,N,1
24/02/2020 08:07:06,entry,S,1
24/02/2020 08:07:36,entry,N,1
24/02/2020 08:09:27,entry,C,1
24/02/2020 08:09:42,exit,S,1
24/02/2020 08:13:01,exit,S,1
24/02/2020 08:13:43,exit,S,1
24/02/2020 08:14:54,entry,C,1
24/02/2020 08:15:12,entry,S,1
24/02/2020 08:15:42,entry,C,1
24/02/2020 08:16:22,exit,S,1
24/02/2020 08:16:42,entry,S,1
24/02/2020 08:18:44,entry,C,0
24/02/2020 08:19:54,entry,S,0
24/02/2020 08:20:03,entry,C,1
24/02/2020 08:21:20,entry,C,1
24/02/2020 08:22:59,entry,C,1
24/02/2020 08:23:34,entry,N,1
24/02/2020 08:24:08,entry,S,1
24/02/2020 08:24:45,entry,C,1
24/02/2020 08:25:35,exit,C,1
24/02/2020 08:26:05,entry,C,1
24/02/2020 08:26:25,entry,S,1
24/02/2020 08:27:33,entry,C,1
24/02/2020 08:28:54,entry,C,1
24/02/2020 08:29:22,entry,N,1
24/02/2020 08:30:55,entry,C,1
24/02/2020 08:31:06,entry,S,1
24/02/2020 08:31:36,entry,C,1
24/02/2020 08:31:43,entry,C,1
24/02/2020 08:31:50,entry,N,1
24/02/2020 08:32:22,entry,N,1
24/02/2020 08:32:55,exit,C,1
24/02/2020 08:32:59,entry,S,1
24/02/2020 08:33:40,entry,N,1
24/02/2020 08:35:23,entry,S,1
24/02/2020 08:35:59,entry,N,1
24/02/2020 08:36:05,entry,C,1
24/02/2020 08:36:25,entry,S,1
24/02/2020 08:37:03,entry,N,1
24/02/2020 08:38:13,exit,N,1
24/02/2020 08:38:48,entry,C,1
24/02/2020 08:39:21,entry,C,1
24/02/2020 08:39:26,entry,S,1
24/02/2020 08:41:40,entry,C,1
24/02/2020 08:41:60,entry,C,1
24/02/2020 08:44:03,exit,C,1
24/02/2020 08:46:36,entry,S,0
24/02/2020 08:47:19,exit,S,0
24/02/2020 08:47:42,entry,C,1
24/02/2020 08:48:54,entry,C,1
24/02/2020 08:50:20,entry,S,1
24/02/2020 08:50:27,entry,C,1
24/02/2020 08:51:09,entry,S,1
24/02/2020 08:51:60,entry,C,1
24/02/2020 08:52:31,entry,S,1
24/02/2020 08:53:12,entry,S,1
24/02/2020 08:53:30,entry,C,1
24/02/2020 08:53:46,entry,S,1
24/02/2020 08:55:08,entry,N,0
24/02/2020 08:55:11,entry,C,1
24/02/2020 08:55:24,entry,C,1
24/02/2020 08:56:23,entry,C,1
24/02/2020 08:57:36,entry,C,1
24/02/2020 08:59:31,entry,C,1
24/02/2020 09:00:31,entry,C,1
24/02/2020 09:00:33,entry,C,1
24/02/2020 09:02:12,entry,C,1
24/02/2020 09:03:57,entry,N,1
24/02/2020 09:04:01,exit,S,1
24/02/2020 09:05:19,entry,C,1
24/02/2020 09:06:04,entry,C,1
24/02/2020 09:06:21,entry,S,1
24/02/2020 09:06:38,entry,S,1
24/02/2020 09:06:49,entry,S,1
24/02/2020 09:07:15,exit,C,1
24/02/2020 09:07:46,entry,S,1
24/02/2020 09:08:01,entry,N,1
24/02/2020 09:09:18,exit,C,1
24/02/2020 09:10:48,entry,N,1
24/02/2020 09:11:11,entry,C,1
24/02/2020 09:11:40,exit,C,1
24/02/2020 09:11:43,exit,N,1
24/02/2020 09:12:12,exit,N,1
24/02/2020 09:12:28,entry,C,1
24/02/2020 09:12:30,entry,C,1
24/02/2020 09:14:00,exit,N,0
24/02/2020 09:14:46,entry,S,1
24/02/2020 09:15:42,exit,C,0
24/02/2020 09:16:51,entry,C,1
24/02/2020 09:17:18,entry,S,1
24/02/2020 09:17:37,exit,C,1
24/02/2020 09:19:15,entry,C,1
24/02/2020 09:19:58,entry,C,1
24/02/2020 09:20:11,entry,C,1
24/02/2020 09:20:42,entry,N,1
24/02/2020 09:21:25,entry,S,1
24/02/2020 09:21:60,exit,C,1
24/02/2020 09:22:05,exit,S,1
24/02/2020 09:23:04,entry,S,1
24/02/2020 09:23:12,entry,C,1
24/02/2020 09:23:54,exit,C,1
24/02/2020 09:25:14,entry,C,1
24/02/2020 09:26:04,entry,N,1
24/02/2020 09:26:48,exit,S,1
24/02/2020 09:27:59,entry,C,1
24/02/2020 09:28:17,entry,N,0
24/02/2020 09:29:27,entry,S,1
24/02/2020 09:29:38,entry,C,1
24/02/2020 09:30:07,exit,N,1
24/02/2020 09:32:33,entry,C,1
24/02/2020 09:33:18,entry,C,1
24/02/2020 09:33:19,entry,S,1
24/02/2020 09:33:49,exit,C,1
24/02/2020 09:33:54,entry,S,1
24/02/2020 09:34:01,entry,C,1
24/02/2020 09:34:21,entry,N,1
24/02/2020 09:36:29,exit,S,1
24/02/2020 09:36:32,entry,C,1
24/02/2020 09:38:32,exit,C,0
24/02/2020 09:39:57,entry,N,1
24/02/2020 09:39:58,exit,N,0
24/02/2020 09:40:53,entry,C,1
24/02/2020 09:41:07,entry,S,1
24/02/2020 09:41:44,entry,S,0
24/02/2020 09:42:15,exit,S,1
24/02/2020 09:43:55,entry,S,1
24/02/2020 09:44:27,entry,C,1
24/02/2020 09:45:08,entry,S,0
24/02/2020 09:45:36,exit,S,1
24/02/2020 09:46:22,entry,S,0
24/02/2020 09:46:49,exit,S,1
24/02/2020 09:47:44,entry,N,1
24/02/2020 09:48:06,entry,C,0
24/02/2020 09:49:02,entry,C,1
24/02/2020 09:49:31,entry,S,1
24/02/2020 09:49:53,entry,N,1
24/02/2020 09:51:15,entry,N,1
24/02/2020 09:51:20,exit,C,1
24/02/2020 09:52:03,entry,N,1
24/02/2020 09:52:10,exit,C,0
24/02/2020 09:52:60,entry,S,1
24/02/2020 09:53:43,entry,N,0
24/02/2020 09:53:44,entry,N,1
24/02/2020 09:54:04,exit,C,1
24/02/2020 09:54:21,entry,C,1
24/02/2020 09:54:55,entry,C,1
24/02/2020 09:55:33,entry,C,1
24/02/2020 09:55:59,entry,C,1
24/02/2020 09:57:36,entry,C,1
24/02/2020 09:58:03,entry,C,1
24/02/2020 09:58:26,entry,S,1
24/02/2020 09:59:27,entry,C,1
24/02/2020 09:59:47,entry,N,1
24/02/2020 09:59:56,entry,C,1
24/02/2020 10:03:44,exit,C,1
24/02/2020 10:05:56,entry,N,1
24/02/2020 10:06:18,entry,S,1
24/02/2020 10:06:35,exit,C,1
24/02/2020 10:06:45,entry,S,1
24/02/2020 10:07:26,exit,N,1
24/02/2020 10:08:38,exit,N,1
24/02/2020 10:10:22,entry,N,1
24/02/2020 10:10:49,entry,N,1
24/02/2020 10:10:50,exit,S,1
24/02/2020 10:11:33,exit,S,0
24/02/2020 10:12:21,exit,C,1
24/02/2020 10:14:13,entry,S,1
24/02/2020 10:15:28,entry,C,1
24/02/2020 10:16:20,exit,N,1
24/02/2020 10:16:54,exit,S,1
24/02/2020 10:17:20,entry,S,1
24/02/2020 10:17:30,exit,C,1
24/02/2020 10:17:45,entry,S,1
24/02/2020 10:18:27,entry,C,1
24/02/2020 10:18:52,entry,C,1
24/02/2020 10:19:44,entry,N,1
24/02/2020 10:19:48,entry,C,1
24/02/2020 10:19:49,exit,C,1
24/02/2020 10:20:11,entry,C,1
24/02/2020 10:21:08,entry,S,1
24/02/2020 10:21:55,entry,S,1
24/02/2020 10:22:06,entry,S,1
24/02/2020 10:23:05,entry,C,0
24/02/2020 10:24:27,entry,S,1
24/02/2020 10:25:32,entry,S,1
24/02/2020 10:27:27,entry,S,1
24/02/2020 10:28:01,exit,C,0
24/02/2020 10:28:07,entry,N,1
24/02/2020 10:28:11,exit,C,1
24/02/2020 10:29:45,exit,C,1
24/02/2020 10:30:25,entry,S,1
24/02/2020 10:31:25,exit,S,1
24/02/2020 10:33:13,entry,N,1
24/02/2020 10:33:49,entry,S,1
24/02/2020 10:34:01,exit,N,1
24/02/2020 10:34:12,entry,S,1
24/02/2020 10:34:33,entry,S,0
24/02/2020 10:35:36,exit,C,1
24/02/2020 10:36:17,entry,S,1
24/02/2020 10:38:08,entry,C,1
24/02/2020 10:38:12,entry,C,0
24/02/2020 10:38:26,exit,N,1
24/02/2020 10:38:59,entry,S,1
24/02/2020 10:40:25,entry,S,1
24/02/2020 10:41:12,entry,S,1
24/02/2020 10:41:29,entry,S,0
24/02/2020 10:42:06,exit,C,1
24/02/2020 10:42:15,exit,S,1
24/02/2020 10:43:36,entry,N,1
24/02/2020 10:43:46,entry,N,0
24/02/2020 10:44:13,entry,C,1
24/02/2020 10:46:15,exit,S,1
24/02/2020 10:46:44,entry,S,1
24/02/2020 10:47:36,entry,S,0
24/02/2020 10:47:41,entry,S,1
24/02/2020 10:48:18,exit,S,1
24/02/2020 10:50:37,exit,C,1
24/02/2020 10:52:04,entry,S,1
24/02/2020 10:52:30,entry,C,1
24/02/2020 10:52:45,entry,C,1
24/02/2020 10:53:13,entry,S,0
24/02/2020 10:55:41,entry,C,1
24/02/2020 10:56:03,entry,C,1
24/02/2020 10:56:37,entry,N,1
24/02/2020 10:56:48,entry,C,0
24/02/2020 10:57:36,entry,C,0
24/02/2020 10:57:48,entry,C,1
24/02/2020 10:58:40,exit,C,1
24/02/2020 11:01:05,entry,S,1
24/02/2020 11:03:47,entry,C,1
24/02/2020 11:05:17,entry,N,1
24/02/2020 11:07:32,entry,C,1
24/02/2020 11:09:31,entry,S,0
24/02/2020 11:11:21,entry,C,1
24/02/2020 11:11:54,exit,S,1
24/02/2020 11:12:10,entry,S,1
24/02/2020 11:12:23,exit,C,0
24/02/2020 11:16:56,exit,S,1
24/02/2020 11:17:45,exit,S,1
24/02/2020 11:18:07,exit,S,1
24/02/2020 11:18:12,entry,C,1
24/02/2020 11:19:33,entry,S,1
24/02/2020 11:21:36,entry,S,1
24/02/2020 11:21:45,exit,N,0
24/02/2020 11:24:39,entry,S,1
24/02/2020 11:25:16,exit,S,1
24/02/2020 11:25:31,entry,S,1
24/02/2020 11:27:29,exit,C,1
24/02/2020 11:27:42,entry,C,1
24/02/2020 11:28:06,entry,C,1
24/02/2020 11:28:48,exit,N,1
24/02/2020 11:29:04,entry,C,1
24/02/2020 11:29:39,exit,C,1
24/02/2020 11:32:02,entry,C,1
24/02/2020 11:35:01,entry,N,1
24/02/2020 11:36:33,entry,S,1
24/02/2020 11:37:25,entry,S,1
24/02/2020 11:40:41,exit,C,1
24/02/2020 11:42:02,exit,S,1
24/02/2020 11:43:01,exit,C,0
24/02/2020 11:43:16,entry,C,1
24/02/2020 11:44:26,entry,S,1
24/02/2020 11:44:57,exit,C,1
24/02/2020 11:45:35,entry,S,1
24/02/2020 11:46:37,entry,C,0
24/02/2020 11:47:48,exit,C,1
24/02/2020 11:48:45,entry,S,1
24/02/2020 11:49:32,entry,S,1
24/02/2020 11:50:08,exit,S,1
24/02/2020 11:50:29,entry,N,1
24/02/2020 11:51:01,exit,S,1
24/02/2020 11:52:08,entry,S,1
24/02/2020 11:52:48,exit,C,0
24/02/2020 11:52:53,exit,S,0
24/02/2020 11:53:37,entry,C,1
24/02/2020 11:54:50,entry,C,1
24/02/2020 11:55:26,exit,S,1
24/02/2020 11:56:60,exit,C,1
24/02/2020 12:04:30,entry,N,1
24/02/2020 12:05:34,exit,C,1
24/02/2020 12:06:08,exit,S,1
24/02/2020 12:06:56,entry,C,1
24/02/2020 12:08:20,exit,C,1
24/02/2020 12:09:35,exit,S,1
24/02/2020 12:09:39,entry,C,1
24/02/2020 12:10:40,entry,N,1
24/02/2020 12:15:52,entry,C,1
24/02/2020 12:15:54,entry,C,1
24/02/2020 12:17:37,entry,C,1
24/02/2020 12:17:53,entry,C,1
24/02/2020 12:18:56,entry,S,1
24/02/2020 12:19:35,entry,N,1
24/02/2020 12:20:00,entry,C,1
24/02/2020 12:20:38,entry,S,0
24/02/2020 12:21:06,exit,S,1
24/02/2020 12:23:31,entry,C,1
24/02/2020 12:23:38,exit,C,1
24/02/2020 12:24:41,entry,N,1
24/02/2020 12:25:28,entry,S,1
24/02/2020 12:26:02,entry,S,1
24/02/2020 12:26:06,entry,S,1
24/02/2020 12:26:07,exit,C,1
24/02/2020 12:29:01,entry,C,1
24/02/2020 12:32:18,entry,S,1
24/02/2020 12:33:11,exit,C,1
24/02/2020 12:36:22,entry,C,1
24/02/2020 12:36:34,entry,C,1
24/02/2020 12:37:05,entry,S,1
24/02/2020 12:37:26,entry,C,1
24/02/2020 12:38:57,entry,C,1
24/02/2020 12:39:35,entry,C,1
24/02/2020 12:39:48,entry,N,1
24/02/2020 12:41:29,exit,S,1
24/02/2020 12:42:54,entry,N,1
24/02/2020 12:45:01,exit,S,1
24/02/2020 12:45:53,entry,C,1
24/02/2020 12:46:30,entry,S,1
24/02/2020 12:47:30,entry,C,1
24/02/2020 12:47:47,entry,C,1
24/02/2020 12:51:39,entry,S,1
24/02/2020 13:00:40,exit,C,0
24/02/2020 13:02:55,entry,S,1
24/02/2020 13:04:14,entry,C,1
24/02/2020 13:04:25,entry,C,1
24/02/2020 13:04:56,exit,C,1
24/02/2020 13:05:35,entry,N,1
24/02/2020 13:05:40,exit,N,1
24/02/2020 13:07:08,exit,C,1
24/02/2020 13:09:20,entry,C,1
24/02/2020 13:12:12,entry,N,1
24/02/2020 13:12:24,exit,C,1
24/02/2020 13:13:22,entry,S,1
24/02/2020 13:13:49,exit,C,1
24/02/2020 13:14:12,exit,S,1
24/02/2020 13:14:13,entry,C,1
24/02/2020 13:17:29,exit,S,1
24/02/2020 13:17:34,exit,S,1
24/02/2020 13:18:30,entry,C,1
24/02/2020 13:19:53,exit,C,1
24/02/2020 13:20:57,exit,S,1
24/02/2020 13:22:01,exit,C,1
24/02/2020 13:22:27,exit,C,1
24/02/2020 13:23:58,exit,N,1
24/02/2020 13:24:01,entry,C,1
24/02/2020 13:24:01,exit,S,1
24/02/2020 13:24:16,entry,C,1
24/02/2020 13:24:21,exit,N,1
24/02/2020 13:24:50,entry,C,1
24/02/2020 13:24:52,exit,S,1
24/02/2020 13:25:07,entry,S,1
24/02/2020 13:25:22,exit,C,1
24/02/2020 13:26:12,exit,S,1
24/02/2020 13:26:40,exit,C,1
24/02/2020 13:27:36,entry,S,1
24/02/2020 13:27:40,exit,N,1
24/02/2020 13:28:21,exit,C,1
24/02/2020 13:29:11,entry,S,1
24/02/2020 13:29:12,entry,S,1
24/02/2020 13:30:16,exit,S,0
24/02/2020 13:30:52,exit,N,1
24/02/2020 13:32:20,exit,C,1
24/02/2020 13:32:23,entry,C,1
24/02/2020 13:33:29,entry,S,1
24/02/2020 13:34:49,exit,C,1
24/02/2020 13:35:12,exit,C,1
24/02/2020 13:35:59,entry,S,0
24/02/2020 13:38:19,exit,S,1
24/02/2020 13:40:11,exit,S,1
24/02/2020 13:40:15,exit,S,1
24/02/2020 13:41:24,exit,S,1
24/02/2020 13:43:06,exit,C,1
24/02/2020 13:43:22,exit,N,1
24/02/2020 13:43:23,entry,C,1
24/02/2020 13:43:35,entry,C,1
24/02/2020 13:44:28,entry,C,1
24/02/2020 13:44:38,exit,N,1
24/02/2020 13:44:58,exit,C,1
24/02/2020 13:45:39,exit,N,1
24/02/2020 13:46:35,exit,S,1
24/02/2020 13:46:37,entry,S,1
24/02/2020 13:48:36,entry,C,1
24/02/2020 13:48:37,entry,S,1
24/02/2020 13:48:48,entry,C,1
24/02/2020 13:50:11,entry,S,1
24/02/2020 13:51:01,exit,C,1
24/02/2020 13:51:07,exit,C,0
24/02/2020 13:51:48,entry,C,1
24/02/2020 13:51:51,exit,C,1
24/02/2020 13:55:24,entry,S,1
24/02/2020 13:55:56,entry,C,1
24/02/2020 13:56:31,entry,S,1
24/02/2020 13:57:60,exit,S,1
24/02/2020 13:58:16,exit,S,0
24/02/2020 13:58:24,entry,S,1
24/02/2020 13:58:25,exit,C,1
24/02/2020 13:59:21,exit,S,1
24/02/2020 13:59:41,entry,S,1
24/02/2020 14:00:09,entry,S,1
24/02/2020 14:00:17,exit,N,1
24/02/2020 14:01:43,exit,N,0
24/02/2020 14:01:52,entry,S,1
24/02/2020 14:03:14,entry,C,1
24/02/2020 14:03:29,entry,S,1
24/02/2020 14:09:20,entry,S,1
24/02/2020 14:10:30,exit,C,0
24/02/2020 14:11:24,entry,S,1
24/02/2020 14:12:54,exit,N,1
24/02/2020 14:14:14,entry,C,1
24/02/2020 14:14:27,entry,C,0
24/02/2020 14:14:35,entry,C,1
24/02/2020 14:17:35,entry,S,0
24/02/2020 14:19:15,entry,N,1
24/02/2020 14:22:25,entry,C,1
24/02/2020 14:23:32,entry,S,1
24/02/2020 14:24:20,exit,S,1
24/02/2020 14:25:53,exit,C,1
24/02/2020 14:26:51,entry,N,1
24/02/2020 14:27:55,entry,C,0
24/02/2020 14:31:33,exit,S,1
24/02/2020 14:39:22,entry,C,1
24/02/2020 14:40:43,entry,C,0
24/02/2020 14:41:56,entry,S,0
24/02/2020 14:43:35,entry,C,1
24/02/2020 14:43:50,entry,C,1
24/02/2020 14:44:18,exit,C,1
24/02/2020 14:45:45,exit,N,0
24/02/2020 14:46:47,exit,C,1
24/02/2020 14:47:17,entry,C,1
24/02/2020 14:48:06,exit,C,1
24/02/2020 14:48:39,exit,N,1
24/02/2020 14:52:06,exit,S,1
24/02/2020 14:53:37,entry,S,1
24/02/2020 14:58:29,exit,S,0
24/02/2020 14:59:13,entry,C,1
24/02/2020 14:59:42,exit,S,0
24/02/2020 15:00:49,exit,S,1
24/02/2020 15:01:29,exit,N,1
24/02/2020 15:04:32,entry,N,1
24/02/2020 15:07:17,exit,C,1
24/02/2020 15:10:14,exit,S,1
24/02/2020 15:10:48,entry,C,0
24/02/2020 15:15:21,exit,C,1
24/02/2020 15:16:44,exit,C,1
24/02/2020 15:17:49,entry,C,1
24/02/2020 15:21:16,entry,C,1
24/02/2020 15:21:56,exit,S,1
24/02/2020 15:24:33,exit,S,1
24/02/2020 15:24:37,exit,C,1
24/02/2020 15:28:24,entry,C,1
24/02/2020 15:28:49,entry,S,1
24/02/2020 15:29:41,exit,C,1
24/02/2020 15:33:00,exit,C,1
24/02/2020 15:38:01,exit,C,1
24/02/2020 15:40:14,exit,S,0
24/02/2020 15:41:42,exit,N,1
24/02/2020 15:45:28,entry,S,1
24/02/2020 15:46:08,exit,C,1
24/02/2020 15:46:18,exit,N,1
24/02/2020 15:52:03,exit,S,1
24/02/2020 15:57:14,exit,C,1
24/02/2020 15:58:53,entry,S,1
24/02/2020 15:59:20,exit,C,1
24/02/2020 15:59:51,exit,S,1
24/02/2020 16:00:32,exit,S,1
24/02/2020 16:03:22,exit,S,0
24/02/2020 16:03:27,exit,C,1
24/02/2020 16:03:46,entry,S,1
24/02/2020 16:04:22,exit,S,0
24/02/2020 16:06:04,exit,S,1
24/02/2020 16:07:19,exit,S,1
24/02/2020 16:09:15,exit,C,0
24/02/2020 16:11:31,exit,C,1
24/02/2020 16:12:37,exit,S,1
24/02/2020 16:15:15,exit,N,1
24/02/2020 16:15:55,exit,S,1
24/02/2020 16:16:38,exit,C,1
24/02/2020 16:18:18,exit,C,1
24/02/2020 16:20:06,exit,S,1
24/02/2020 16:22:10,exit,S,1
24/02/2020 16:22:21,exit,S,1
24/02/2020 16:22:25,exit,N,1
24/02/2020 16:22:52,exit,C,1
24/02/2020 16:23:44,exit,S,0
24/02/2020 16:24:16,exit,S,1
24/02/2020 16:29:28,exit,C,1
24/02/2020 16:29:29,exit,C,1
24/02/2020 16:30:31,exit,S,1
24/02/2020 16:30:48,exit,C,1
24/02/2020 16:31:33,exit,S,1
24/02/2020 16:33:17,exit,C,1
24/02/2020 16:33:48,entry,N,1
24/02/2020 16:34:17,exit,S,0
24/02/2020 16:34:18,exit,N,0
24/02/2020 16:35:13,entry,C,1
24/02/2020 16:35:21,entry,S,1
24/02/2020 16:36:03,exit,C,1
24/02/2020 16:36:50,entry,C,1
24/02/2020 16:38:14,exit,N,1
24/02/2020 16:40:29,exit,S,1
24/02/2020 16:41:51,exit,S,1
24/02/2020 16:48:40,exit,N,1
24/02/2020 16:49:51,exit,C,1
24/02/2020 16:49:59,exit,S,1
24/02/2020 16:51:59,exit,C,1
24/02/2020 16:52:12,exit,C,1
24/02/2020 16:53:40,entry,N,0
24/02/2020 16:54:01,exit,S,1
24/02/2020 16:54:14,exit,C,1
24/02/2020 16:56:26,exit,C,1
24/02/2020 16:57:10,entry,S,1
24/02/2020 17:01:21,entry,S,1
24/02/2020 17:03:32,exit,C,1
24/02/2020 17:05:11,exit,S,1
24/02/2020 17:06:11,exit,C,0
24/02/2020 17:07:47,exit,S,1
24/02/2020 17:07:48,entry,C,1
24/02/2020 17:09:20,exit,N,1
24/02/2020 17:09:53,exit,N,1
24/02/2020 17:09:59,entry,S,1
24/02/2020 17:10:00,exit,C,1
24/02/2020 17:10:45,entry,C,1
24/02/2020 17:13:47,entry,C,1
24/02/2020 17:16:55,exit,S,1
24/02/2020 17:17:16,entry,C,1
24/02/2020 17:18:55,exit,C,1
24/02/2020 17:19:38,exit,C,1
24/02/2020 17:19:51,exit,C,1
24/02/2020 17:20:44,entry,S,0
24/02/2020 17:20:54,exit,S,1
24/02/2020 17:21:35,exit,S,1
24/02/2020 17:22:49,exit,N,1
24/02/2020 17:25:51,exit,C,1
24/02/2020 17:27:40,exit,C,1
24/02/2020 17:28:54,exit,C,1
24/02/2020 17:29:18,exit,S,1
24/02/2020 17:30:03,entry,S,1
24/02/2020 17:31:31,entry,S,1
24/02/2020 17:31:59,exit,C,1
24/02/2020 17:34:39,exit,N,1
24/02/2020 17:35:17,exit,S,1
24/02/2020 17:35:23,exit,S,1
24/02/2020 17:35:55,exit,C,1
24/02/2020 17:36:45,exit,S,1
24/02/2020 17:38:14,exit,C,1
24/02/2020 17:38:43,exit,N,1
24/02/2020 17:39:42,exit,C,1
