################################################################################
# This file contains a transactional data dump of students entering and leaving
# at the University Road drop-off gate. That is, the entrance closest to the
# Engineering buildings. There are three turnstiles. The first is North,
# denoted with 'N', and is closest to the Mineral Sciences Building. The second 
# is in the centre, denoted with 'C', and closest to the Mining Engineering
# Study Centre. The third is South, denoted by 'S', and is closest to the
# Engineering 2 Building.
#
# The time stamp indicates the time of day first in the compact format HHMMSS
# and then the date as day/month/year. There is a variable indicating whether
# this is an 'entry' into the campus or an 'exit' leaving the campus. The
# 'success' variable indicates a '1' if the transaction was completed with only
# one tap of the student card, and '0' if two or more taps were required.
#
# The final variable indicates the system's estimate for the entry or exit
# transaction duration (in seconds). That is the time from when a student's
# card is first tapped until the turnstile is activated and locked again behind 
# the student. 
################################################################################


date,type,turnstile,success,duration
081122 24/02/2020,entry,C,1,7.42
081144 24/02/2020,entry,C,1,6.88
081158 24/02/2020,entry,C,0,6.9
081204 24/02/2020,entry,S,1,5.73
081341 24/02/2020,exit,N,1,7.1
081400 24/02/2020,exit,C,1,5.82
081426 24/02/2020,entry,C,1,6.2
081433 24/02/2020,entry,C,1,6.19
081522 24/02/2020,entry,C,1,7.04
081726 24/02/2020,entry,C,1,7.27
081748 24/02/2020,entry,C,1,8.32
081904 24/02/2020,entry,C,1,6.29
082114 24/02/2020,entry,N,1,7.85
082147 24/02/2020,entry,C,1,7.09
082152 24/02/2020,entry,S,1,5.65
082153 24/02/2020,entry,C,1,7.29
082155 24/02/2020,entry,C,1,7.14
082250 24/02/2020,entry,S,1,6.48
082433 24/02/2020,exit,C,1,7.34
082457 24/02/2020,exit,S,1,6.02
082502 24/02/2020,entry,C,1,7.89
082803 24/02/2020,entry,C,1,6.15
082832 24/02/2020,entry,C,1,6.14
082840 24/02/2020,entry,S,1,6.04
082932 24/02/2020,entry,S,1,5.31
083017 24/02/2020,entry,S,1,7.34
083050 24/02/2020,entry,S,1,5.07
083132 24/02/2020,entry,S,1,5.32
083329 24/02/2020,entry,C,1,6.81
083355 24/02/2020,entry,C,1,6.88
083533 24/02/2020,entry,C,1,7.38
083610 24/02/2020,entry,S,1,8.15
083723 24/02/2020,exit,C,0,6.69
083730 24/02/2020,entry,N,1,6.13
083747 24/02/2020,entry,S,1,7.58
083749 24/02/2020,entry,S,1,7.36
083758 24/02/2020,exit,C,1,7.11
083836 24/02/2020,exit,N,1,7.6
084018 24/02/2020,entry,C,1,6.27
084030 24/02/2020,entry,N,1,5.84
084125 24/02/2020,entry,C,1,7.16
084317 24/02/2020,entry,N,1,8.13
084319 24/02/2020,entry,C,1,5.58
084455 24/02/2020,entry,C,1,6.67
084657 24/02/2020,entry,S,1,5.45
084713 24/02/2020,entry,S,1,6.83
084717 24/02/2020,entry,C,0,7.15
084927 24/02/2020,entry,N,1,5.31
084932 24/02/2020,entry,S,1,7.53
084948 24/02/2020,entry,S,1,6.97
085016 24/02/2020,entry,C,1,6.53
085035 24/02/2020,exit,C,1,7.49
085147 24/02/2020,entry,C,1,7.51
085150 24/02/2020,entry,N,1,5.81
085160 24/02/2020,entry,N,1,6.67
085203 24/02/2020,entry,S,1,7.68
085204 24/02/2020,entry,C,1,7.9
085502 24/02/2020,entry,S,1,6.45
085638 24/02/2020,entry,C,1,6.42
085658 24/02/2020,entry,S,1,7.1
085718 24/02/2020,entry,S,1,6.48
085756 24/02/2020,entry,S,1,6.54
085823 24/02/2020,entry,C,1,8.15
085912 24/02/2020,entry,S,1,6.91
085944 24/02/2020,entry,C,1,5.04
085944 24/02/2020,exit,C,1,7.53
090536 24/02/2020,entry,S,1,7.27
090537 24/02/2020,entry,S,1,5.48
090553 24/02/2020,entry,C,1,5.76
090626 24/02/2020,entry,C,1,6.84
090643 24/02/2020,entry,C,1,6.82
090803 24/02/2020,exit,N,1,5.91
090813 24/02/2020,entry,C,1,7.02
090833 24/02/2020,exit,C,1,5.85
090914 24/02/2020,entry,S,1,7.65
090919 24/02/2020,entry,C,1,6.96
091006 24/02/2020,entry,C,1,6.37
091031 24/02/2020,entry,S,1,5.7
091040 24/02/2020,entry,C,1,7.08
091313 24/02/2020,entry,C,1,6.44
091322 24/02/2020,exit,N,0,4.86
091344 24/02/2020,entry,C,1,6.47
091528 24/02/2020,entry,N,1,6.3
091711 24/02/2020,entry,C,1,7.56
091730 24/02/2020,exit,S,1,6.68
091923 24/02/2020,entry,C,1,6.5
092000 24/02/2020,entry,S,1,6.76
092150 24/02/2020,entry,C,1,6.69
092220 24/02/2020,exit,S,1,6.78
092329 24/02/2020,entry,C,1,6.56
092347 24/02/2020,entry,C,1,6.78
092421 24/02/2020,entry,C,1,5.74
092430 24/02/2020,entry,N,1,5.19
092536 24/02/2020,entry,C,1,7.92
092620 24/02/2020,entry,C,1,7.42
092723 24/02/2020,entry,C,1,6.71
092753 24/02/2020,entry,S,1,7.14
093014 24/02/2020,entry,N,1,6.36
093027 24/02/2020,entry,C,1,5.56
093101 24/02/2020,entry,C,1,4.86
093506 24/02/2020,exit,N,0,5.69
093542 24/02/2020,entry,C,1,7.41
093552 24/02/2020,exit,C,1,6.75
093725 24/02/2020,exit,S,1,5.81
093913 24/02/2020,entry,S,1,5.71
093939 24/02/2020,entry,N,1,5.17
094103 24/02/2020,exit,S,1,6.24
094333 24/02/2020,exit,S,1,6.67
094657 24/02/2020,entry,C,1,8.18
094711 24/02/2020,exit,S,1,6.86
094822 24/02/2020,entry,C,1,6.03
094860 24/02/2020,entry,C,1,7.8
095126 24/02/2020,entry,C,1,5.96
095201 24/02/2020,entry,C,1,7.16
095225 24/02/2020,entry,S,1,5.5
095311 24/02/2020,entry,C,1,6.28
095414 24/02/2020,entry,S,1,7.01
095520 24/02/2020,entry,S,1,6.58
095539 24/02/2020,entry,S,1,5.98
095801 24/02/2020,entry,N,1,6.95
095820 24/02/2020,entry,C,1,6.44
095841 24/02/2020,entry,N,1,7.23
100023 24/02/2020,entry,C,1,6.48
100052 24/02/2020,entry,C,1,5.8
100313 24/02/2020,exit,N,1,5.99
100315 24/02/2020,exit,C,1,7.02
100322 24/02/2020,entry,C,1,6.13
100336 24/02/2020,exit,C,1,7.31
100408 24/02/2020,entry,S,1,7.97
100414 24/02/2020,exit,N,1,4.72
100526 24/02/2020,entry,S,1,6.21
100621 24/02/2020,exit,N,1,6.25
100632 24/02/2020,entry,C,1,5.45
100647 24/02/2020,entry,N,1,7.52
100647 24/02/2020,exit,S,1,4.86
100655 24/02/2020,exit,S,1,7.49
100831 24/02/2020,entry,S,1,6.35
100923 24/02/2020,exit,S,1,7.29
101044 24/02/2020,exit,C,1,7.37
101122 24/02/2020,exit,N,1,5.86
101255 24/02/2020,exit,C,0,8.44
101256 24/02/2020,exit,S,0,5.23
101308 24/02/2020,entry,C,1,6.28
101337 24/02/2020,entry,C,1,7.77
101406 24/02/2020,entry,S,1,6.51
101534 24/02/2020,entry,N,1,6.83
101604 24/02/2020,exit,S,1,6.93
101618 24/02/2020,entry,S,1,6.26
101626 24/02/2020,exit,C,1,6.17
101645 24/02/2020,exit,S,0,6.34
101751 24/02/2020,exit,S,1,5.53
102307 24/02/2020,exit,S,1,8.19
102460 24/02/2020,entry,N,1,5.92
102520 24/02/2020,exit,C,0,4.78
102602 24/02/2020,entry,N,1,6.83
102645 24/02/2020,exit,C,1,6.28
102657 24/02/2020,entry,C,1,5.39
102824 24/02/2020,exit,S,1,6.69
103011 24/02/2020,entry,C,1,5.68
103107 24/02/2020,exit,S,1,6.17
103231 24/02/2020,entry,S,1,7.34
103311 24/02/2020,entry,C,0,6.6
103335 24/02/2020,entry,S,1,7.56
103358 24/02/2020,entry,S,1,6.49
103445 24/02/2020,exit,S,1,7.84
103621 24/02/2020,entry,S,1,6.65
103622 24/02/2020,entry,C,1,6.39
103721 24/02/2020,entry,C,1,8.79
103823 24/02/2020,entry,C,1,8.4
103838 24/02/2020,entry,C,1,6.01
104004 24/02/2020,entry,C,1,7.19
104120 24/02/2020,exit,S,1,6.33
104133 24/02/2020,exit,C,1,5.85
104215 24/02/2020,exit,C,1,5.94
104326 24/02/2020,exit,C,0,7.2
104435 24/02/2020,entry,C,1,5.09
104457 24/02/2020,entry,S,1,6.03
104509 24/02/2020,entry,C,1,5.63
104545 24/02/2020,entry,C,1,6.85
104547 24/02/2020,entry,S,1,7.04
104548 24/02/2020,entry,S,1,5.11
104636 24/02/2020,exit,C,1,7.2
104649 24/02/2020,entry,C,1,7.47
105003 24/02/2020,entry,C,1,6.06
105152 24/02/2020,exit,C,1,6.6
105319 24/02/2020,entry,S,1,6.82
105353 24/02/2020,entry,N,1,7.39
105404 24/02/2020,exit,N,1,5.25
105426 24/02/2020,exit,S,1,8.17
105459 24/02/2020,entry,C,1,6.47
105707 24/02/2020,entry,S,1,6.55
105722 24/02/2020,exit,C,1,5.53
105747 24/02/2020,entry,C,1,5.39
105749 24/02/2020,exit,N,1,5.55
105901 24/02/2020,entry,C,1,5.18
110109 24/02/2020,exit,S,1,7.96
110313 24/02/2020,exit,S,1,7.26
110406 24/02/2020,exit,C,1,5.65
110519 24/02/2020,exit,C,1,5.41
110643 24/02/2020,exit,C,1,6.03
110649 24/02/2020,exit,C,0,6.01
110855 24/02/2020,entry,N,1,6.84
110938 24/02/2020,entry,N,1,7.05
111030 24/02/2020,exit,N,1,5.35
111113 24/02/2020,entry,S,1,6.82
111207 24/02/2020,entry,S,1,9.49
111247 24/02/2020,entry,S,0,6.38
111306 24/02/2020,entry,C,1,7
111313 24/02/2020,entry,S,1,4.72
111342 24/02/2020,entry,C,1,7.74
111403 24/02/2020,exit,S,1,5.19
111412 24/02/2020,exit,C,0,6.54
111444 24/02/2020,entry,S,1,7.13
111444 24/02/2020,exit,S,1,5.37
111544 24/02/2020,exit,C,1,6.86
111549 24/02/2020,entry,C,1,5.96
111759 24/02/2020,entry,C,1,6.24
111907 24/02/2020,entry,S,1,7.8
111954 24/02/2020,exit,C,1,6.41
112113 24/02/2020,exit,C,1,6.29
112118 24/02/2020,entry,C,1,6.43
112229 24/02/2020,exit,C,0,6.81
112404 24/02/2020,exit,C,1,7.41
112434 24/02/2020,exit,C,1,5.85
112503 24/02/2020,entry,S,1,5.49
112629 24/02/2020,entry,S,1,7.43
112705 24/02/2020,entry,S,1,7.04
113056 24/02/2020,exit,S,1,6.38
113404 24/02/2020,exit,S,1,5.01
113441 24/02/2020,exit,S,1,6.41
113538 24/02/2020,entry,S,1,4.78
113542 24/02/2020,exit,N,1,7.76
113614 24/02/2020,entry,S,1,5.64
113925 24/02/2020,exit,C,1,6.11
114207 24/02/2020,entry,C,1,7.05
114445 24/02/2020,exit,C,1,6.29
114449 24/02/2020,exit,S,1,6.38
114530 24/02/2020,exit,S,1,6.43
114643 24/02/2020,exit,C,1,5.39
114819 24/02/2020,exit,N,1,6.57
114938 24/02/2020,exit,C,1,5.98
114950 24/02/2020,entry,C,0,7.14
115127 24/02/2020,exit,S,0,6.24
115221 24/02/2020,exit,S,1,6
115354 24/02/2020,entry,C,1,5.67
115401 24/02/2020,exit,C,1,7.12
115613 24/02/2020,exit,C,1,5.81
115614 24/02/2020,exit,N,1,7.1
115615 24/02/2020,entry,C,1,7.38
115638 24/02/2020,entry,S,0,6.36
115720 24/02/2020,exit,S,0,6.94
115938 24/02/2020,entry,C,1,6.35
120016 24/02/2020,exit,N,1,5.39
120125 24/02/2020,entry,N,1,6.6
120236 24/02/2020,entry,C,1,8.3
120249 24/02/2020,exit,C,1,6.63
120610 24/02/2020,exit,C,1,4.42
120904 24/02/2020,entry,S,1,6.21
120934 24/02/2020,exit,N,1,7.07
120940 24/02/2020,entry,S,1,5.26
120941 24/02/2020,entry,C,1,5.41
121005 24/02/2020,entry,S,1,6.37
121211 24/02/2020,exit,S,1,6.03
121330 24/02/2020,exit,S,1,8.35
121523 24/02/2020,entry,C,1,6.64
121536 24/02/2020,exit,N,1,6.48
121542 24/02/2020,exit,C,1,5.72
121742 24/02/2020,entry,S,0,6.27
121820 24/02/2020,entry,S,1,5.94
121827 24/02/2020,exit,S,1,6.63
121832 24/02/2020,exit,C,1,6.34
122103 24/02/2020,entry,S,1,6.8
122119 24/02/2020,exit,C,1,4.67
122551 24/02/2020,entry,C,1,5.66
122655 24/02/2020,exit,N,1,7.86
123015 24/02/2020,entry,N,1,6.9
123021 24/02/2020,exit,S,1,5.68
123041 24/02/2020,exit,S,1,7.39
123239 24/02/2020,entry,N,1,7.32
123354 24/02/2020,entry,S,1,6.42
123428 24/02/2020,exit,C,1,6.99
123524 24/02/2020,entry,C,1,6.68
123542 24/02/2020,exit,C,0,5.94
123653 24/02/2020,exit,C,1,7.44
123824 24/02/2020,entry,N,1,7.52
123837 24/02/2020,exit,S,1,5.51
124146 24/02/2020,entry,S,1,5.9
124342 24/02/2020,exit,C,1,6.66
124438 24/02/2020,entry,C,1,7.08
124455 24/02/2020,entry,C,1,6.03
124521 24/02/2020,entry,C,1,6.72
124553 24/02/2020,entry,S,1,7.07
124758 24/02/2020,entry,C,1,6.68
124903 24/02/2020,entry,C,1,6.6
124906 24/02/2020,entry,S,1,4.8
125001 24/02/2020,entry,C,1,5.51
125033 24/02/2020,exit,S,1,8.14
125138 24/02/2020,exit,C,0,6.05
125231 24/02/2020,exit,S,1,6.84
125425 24/02/2020,exit,N,1,7.31
125449 24/02/2020,exit,C,1,5.1
125554 24/02/2020,exit,S,1,4.52
125631 24/02/2020,exit,N,0,5.57
125656 24/02/2020,exit,S,1,7.21
125711 24/02/2020,exit,S,1,6.69
125720 24/02/2020,exit,S,1,7.87
125846 24/02/2020,entry,S,1,6.86
125858 24/02/2020,entry,C,1,6.28
125911 24/02/2020,entry,C,1,5.39
125953 24/02/2020,exit,N,1,6.86
130044 24/02/2020,exit,S,1,6.83
130254 24/02/2020,exit,C,1,6.19
130312 24/02/2020,exit,C,1,5.14
130346 24/02/2020,exit,C,1,7.13
130453 24/02/2020,entry,S,1,4.96
130604 24/02/2020,exit,N,1,8.45
130618 24/02/2020,entry,C,1,7.23
130634 24/02/2020,entry,C,1,5.9
130701 24/02/2020,exit,C,1,7.09
130705 24/02/2020,entry,S,1,6.04
130806 24/02/2020,entry,S,1,5.76
130816 24/02/2020,entry,C,1,6.3
130859 24/02/2020,exit,S,1,7.38
130942 24/02/2020,exit,S,1,7.42
131001 24/02/2020,exit,S,1,5.99
131018 24/02/2020,entry,C,1,6.81
131059 24/02/2020,entry,S,1,7
131109 24/02/2020,entry,N,1,7.74
131114 24/02/2020,entry,C,1,6.67
131129 24/02/2020,entry,S,1,7.54
131135 24/02/2020,entry,C,1,5.34
131245 24/02/2020,exit,C,1,6.22
131734 24/02/2020,exit,S,1,6.44
131835 24/02/2020,entry,S,1,6.51
131836 24/02/2020,exit,C,1,6.49
131905 24/02/2020,entry,C,1,7.39
132015 24/02/2020,entry,N,1,6.57
132208 24/02/2020,entry,S,1,6.72
132208 24/02/2020,exit,N,1,6.39
132215 24/02/2020,entry,C,1,6.23
132400 24/02/2020,entry,C,1,7.21
132457 24/02/2020,exit,C,1,5.43
132746 24/02/2020,exit,C,1,9.29
132754 24/02/2020,entry,S,1,5.92
133022 24/02/2020,entry,C,1,6.56
133044 24/02/2020,entry,S,1,6.02
133230 24/02/2020,entry,C,1,7.64
133316 24/02/2020,entry,C,1,5.99
133454 24/02/2020,entry,C,1,6.41
133457 24/02/2020,exit,C,1,7.49
133547 24/02/2020,exit,S,1,6.38
133750 24/02/2020,entry,S,1,6.72
133936 24/02/2020,exit,S,0,5.85
133944 24/02/2020,exit,C,1,6.21
133947 24/02/2020,entry,N,0,5.66
134322 24/02/2020,entry,S,1,6.83
134323 24/02/2020,exit,S,1,6.19
134403 24/02/2020,exit,C,1,5.92
134436 24/02/2020,exit,S,1,5.96
134442 24/02/2020,exit,S,0,6.62
134458 24/02/2020,exit,S,1,5.54
134601 24/02/2020,entry,C,1,6.87
134603 24/02/2020,exit,S,1,7
134629 24/02/2020,exit,C,1,6.54
134652 24/02/2020,entry,N,1,4.83
134730 24/02/2020,exit,S,1,6.95
134758 24/02/2020,entry,C,1,8.48
134855 24/02/2020,exit,C,1,5.53
134856 24/02/2020,exit,S,1,5.39
134911 24/02/2020,entry,S,1,7.96
134931 24/02/2020,entry,S,1,7.11
135104 24/02/2020,entry,C,1,7.31
135121 24/02/2020,entry,C,0,6.77
135129 24/02/2020,entry,N,1,5.62
135129 24/02/2020,exit,C,1,6.47
135146 24/02/2020,exit,C,1,7.05
135329 24/02/2020,entry,C,1,6.76
135522 24/02/2020,exit,S,1,7.83
135541 24/02/2020,exit,S,1,7.32
135709 24/02/2020,exit,S,1,7.74
135758 24/02/2020,exit,C,1,8.1
135941 24/02/2020,entry,C,1,6.53
140414 24/02/2020,exit,C,1,6.09
140546 24/02/2020,exit,S,1,5.26
140649 24/02/2020,entry,N,1,8.04
140901 24/02/2020,exit,C,1,6.73
140923 24/02/2020,entry,S,1,6.23
141030 24/02/2020,entry,S,1,6.48
141106 24/02/2020,entry,S,1,6.97
141254 24/02/2020,exit,C,1,5.72
141551 24/02/2020,exit,S,1,5.77
141555 24/02/2020,exit,S,1,5.36
141938 24/02/2020,entry,C,0,6.57
142126 24/02/2020,entry,S,1,6.2
142128 24/02/2020,exit,S,1,6.33
142226 24/02/2020,exit,S,1,6.02
142320 24/02/2020,exit,C,1,6.32
142341 24/02/2020,exit,S,1,6.36
142548 24/02/2020,exit,N,1,8.74
142624 24/02/2020,exit,C,1,7.09
142635 24/02/2020,exit,C,1,7.2
142808 24/02/2020,entry,S,0,6.08
143004 24/02/2020,exit,C,0,5.91
143111 24/02/2020,exit,S,1,8.19
143305 24/02/2020,entry,S,1,6.82
143432 24/02/2020,entry,N,1,5.52
143633 24/02/2020,exit,C,1,7.2
143751 24/02/2020,entry,S,1,5.93
143842 24/02/2020,entry,C,1,6.02
144354 24/02/2020,exit,N,1,6.72
144532 24/02/2020,exit,S,1,6.86
144617 24/02/2020,entry,S,1,6.04
144917 24/02/2020,exit,S,1,6.39
145016 24/02/2020,exit,C,1,7.2
145045 24/02/2020,exit,C,1,6.68
145316 24/02/2020,entry,S,1,5.3
145321 24/02/2020,entry,S,1,8.49
145626 24/02/2020,exit,C,1,6.2
145810 24/02/2020,exit,C,0,7.25
145841 24/02/2020,entry,C,1,6.63
145853 24/02/2020,exit,S,1,7.53
145905 24/02/2020,entry,S,1,6.33
145951 24/02/2020,exit,S,1,6.47
150336 24/02/2020,exit,N,1,5.64
150402 24/02/2020,exit,N,0,6.25
150403 24/02/2020,exit,C,1,6.48
150449 24/02/2020,exit,S,1,7.07
151003 24/02/2020,exit,S,1,7.95
151442 24/02/2020,entry,C,1,8.09
151452 24/02/2020,exit,S,1,7.32
151521 24/02/2020,exit,C,0,5.94
151542 24/02/2020,entry,C,1,7.09
151842 24/02/2020,exit,S,1,6.51
152140 24/02/2020,entry,C,1,6.11
152411 24/02/2020,entry,C,1,6.46
152751 24/02/2020,entry,C,1,5.2
152832 24/02/2020,exit,C,1,7.52
153438 24/02/2020,exit,C,0,7.72
153633 24/02/2020,exit,N,1,5.76
154003 24/02/2020,exit,C,1,6.65
154105 24/02/2020,entry,S,1,6.29
154137 24/02/2020,exit,C,0,5.53
154358 24/02/2020,exit,S,1,5.68
154930 24/02/2020,exit,S,0,6.07
155219 24/02/2020,exit,C,0,6.47
155246 24/02/2020,entry,C,1,6.5
155311 24/02/2020,exit,S,1,6.91
155407 24/02/2020,exit,C,1,6.49
155628 24/02/2020,exit,C,1,6.39
155748 24/02/2020,entry,S,1,6.78
155751 24/02/2020,exit,C,0,6.21
155844 24/02/2020,exit,S,1,7.5
160120 24/02/2020,exit,S,1,5.87
160442 24/02/2020,entry,S,0,7.56
160511 24/02/2020,exit,S,1,6.95
160617 24/02/2020,exit,N,1,7.23
160707 24/02/2020,exit,C,1,6.47
160860 24/02/2020,exit,C,1,7.5
160919 24/02/2020,exit,C,1,6.75
161154 24/02/2020,exit,S,0,5.1
161227 24/02/2020,exit,N,1,5.43
161242 24/02/2020,entry,C,1,7.67
161327 24/02/2020,exit,C,1,5.96
162345 24/02/2020,exit,N,1,7.09
162357 24/02/2020,exit,N,1,5.66
162438 24/02/2020,exit,S,1,7.44
162846 24/02/2020,entry,S,1,5.92
163601 24/02/2020,entry,C,1,6.33
163821 24/02/2020,exit,C,1,6.53
163930 24/02/2020,exit,S,1,5.42
163959 24/02/2020,exit,C,0,7.04
164049 24/02/2020,entry,N,1,8.57
164132 24/02/2020,exit,C,1,5.02
164649 24/02/2020,exit,S,1,7.93
164802 24/02/2020,entry,S,1,7.59
164808 24/02/2020,exit,C,1,6.19
164844 24/02/2020,exit,N,1,6.39
165028 24/02/2020,exit,S,1,5.81
165041 24/02/2020,exit,C,1,6.82
165042 24/02/2020,exit,S,1,5.07
165110 24/02/2020,entry,C,1,6.11
165137 24/02/2020,exit,N,1,6.24
165224 24/02/2020,entry,C,1,6.98
165251 24/02/2020,entry,C,1,7.41
165302 24/02/2020,exit,S,1,6.17
165354 24/02/2020,entry,C,1,5.78
165517 24/02/2020,exit,S,1,6.78
165728 24/02/2020,entry,C,1,7.48
170545 24/02/2020,exit,C,1,8.19
170605 24/02/2020,exit,S,1,7.23
170627 24/02/2020,exit,C,1,5.5
170760 24/02/2020,exit,C,1,8.17
171102 24/02/2020,exit,C,1,6.44
171200 24/02/2020,exit,S,1,7.13
171220 24/02/2020,exit,C,1,6.47
171342 24/02/2020,exit,N,1,7.01
171402 24/02/2020,exit,S,1,6.14
171607 24/02/2020,exit,C,1,7.11
171740 24/02/2020,exit,C,1,6.02
171832 24/02/2020,exit,C,1,5.95
171906 24/02/2020,exit,C,1,6.77
172105 24/02/2020,exit,C,1,6.55
172107 24/02/2020,exit,C,0,5.61
172159 24/02/2020,exit,N,1,6.31
172219 24/02/2020,exit,C,1,5.5
172233 24/02/2020,entry,C,1,6.61
172243 24/02/2020,exit,C,1,8.1
172327 24/02/2020,exit,N,1,8.09
172406 24/02/2020,entry,N,1,5.99
172529 24/02/2020,exit,C,1,5.96
172741 24/02/2020,exit,C,1,6.53
173150 24/02/2020,exit,C,1,6.99
173317 24/02/2020,exit,C,1,7.57
173403 24/02/2020,exit,C,1,7.82
173426 24/02/2020,exit,S,1,7.37
173917 24/02/2020,exit,C,1,6.31
174058 24/02/2020,exit,C,1,6.24
174145 24/02/2020,exit,S,1,6.16
174324 24/02/2020,entry,N,1,7.54
174406 24/02/2020,exit,C,1,6.03
